flores_codes,resource_level,average_chosen_scores,average_rejected_scores
ssw_Latn,low,3.96,1.510204081632653
tso_Latn,low,3.96,1.5
nso_Latn,low,3.62,1.52
wol_Latn,low,3.68,2.12
lug_Latn,low,3.5,1.78
tsn_Latn,low,3.74,1.56
lin_Latn,low,3.72,1.4791666666666667
nya_Latn,low,3.82,1.36
ibo_Latn,low,3.96,1.52
sna_Latn,low,4.04,1.32
sot_Latn,low,4.14,1.42
tir_Ethi,low,3.36,1.88
grn_Latn,low,3.82,1.76
yor_Latn,low,3.94,1.62
sun_Latn,low,4.1,1.24
mri_Latn,low,4.04,1.48
snd_Arab,low,4.0,1.42
xho_Latn,low,3.8,1.28
zul_Latn,low,3.78,1.24
bod_Tibt,low,2.82,2.1
asm_Beng,low,3.98,1.34
hat_Latn,low,3.9,1.32
kin_Latn,low,3.8979591836734695,1.32
jav_Latn,low,3.8,1.24
hau_Latn,low,3.84,1.34
ceb_Latn,low,4.26,1.24
war_Latn,low,4.3,1.163265306122449
amh_Ethi,low,3.62,1.58
lao_Laoo,low,3.8,1.94
mlt_Latn,low,3.96,1.16
som_Latn,low,4.12,1.3
tgk_Cyrl,low,3.96,1.14
pan_Guru,low,4.0,1.16
kir_Cyrl,low,4.16,1.2
sin_Sinh,low,3.92,1.34
tgl_Latn,low,4.02,1.18
khm_Khmr,low,3.96,1.4
guj_Gujr,low,4.08,1.24
afr_Latn,low,4.02,1.14
kan_Knda,low,3.82,1.28
mya_Mymr,low,3.5,1.46
tel_Telu,low,3.78,1.2448979591836735
mar_Deva,low,4.08,1.14
mal_Mlym,low,3.82,1.1
kaz_Cyrl,low,4.1,1.06
urd_Arab,low,4.14,1.22
mkd_Cyrl,low,4.26,1.1
eus_Latn,low,4.14,1.2448979591836735
hye_Armn,low,3.7916666666666665,1.4
isl_Latn,low,4.28,1.14
kat_Geor,low,3.96,1.42
tam_Taml,low,4.04,1.24
ben_Beng,low,4.02,1.1
hin_Deva,medium,3.74,1.04
est_Latn,medium,4.22,1.2
slv_Latn,medium,4.2,1.06
lit_Latn,medium,4.06,1.1
hrv_Latn,medium,4.204081632653061,1.14
srp_Cyrl,medium,4.2,1.04
heb_Hebr,medium,4.02,1.08
cat_Latn,medium,4.08,1.14
bul_Cyrl,medium,4.02,1.12
slk_Latn,medium,4.2,1.1
tha_Thai,medium,3.92,1.18
fin_Latn,medium,4.26,1.06
ukr_Cyrl,medium,4.14,1.08
dan_Latn,medium,4.22,1.02
ell_Grek,medium,4.0,1.04
hun_Latn,medium,4.24,1.1
ron_Latn,medium,4.32,1.16
kor_Hang,medium,4.2,1.12
swe_Latn,medium,4.12,1.14
ind_Latn,medium,4.02,1.2
vie_Latn,medium,4.16,1.1
tur_Latn,medium,4.12,1.1
ces_Latn,high,4.1,1.08
pol_Latn,high,4.1,1.06
nld_Latn,high,4.12,1.16
por_Latn,high,4.08,1.12
ita_Latn,high,4.2,1.12
spa_Latn,high,4.14,1.06
fra_Latn,high,4.020408163265306,1.02
jpn_Jpan,high,3.9,1.02
deu_Latn,high,4.24,1.1
zho_Hans,high,4.1,1.06
rus_Cyrl,high,4.0,1.0408163265306123
eng_Latn,high,4.22,1.06
